distance,elevation,speed limit,traffic control
0,7.62,13.4112,
198.12,7.62,13.4112,
274.32,9.144,13.4112,light
396.24,15.5448,13.4112,
609.6,15.24,13.4112,light
822.96,7.62,13.4112,
1005.84,9.7536,13.4112,light
1219.2,9.4488,13.4112,
1402.08,7.62,13.4112,
1524,7.9248,13.4112,
2164.08,18.288,13.4112,light
2255.52,18.288,13.4112,
2621.28,7.62,13.4112,
